,Date,Symbols,High,Low,Open,Close,Volume,Adj Close,Company_name
412,2016-03-02,brk-a,206009,204580,206000,205500,400,205500,Berkshire Hathaway Inc.
413,2016-03-03,brk-a,206395,204999,205750,206000,400,206000,Berkshire Hathaway Inc.
414,2016-03-04,brk-a,207945,205700,206200,207945,1100,207945,Berkshire Hathaway Inc.
415,2016-03-07,brk-a,208750,206621,207500,208500,700,208500,Berkshire Hathaway Inc.
416,2016-03-08,brk-a,208700,207280,208150,207989,600,207989,Berkshire Hathaway Inc.
417,2016-03-09,brk-a,209425,208250,208336,209250,500,209250,Berkshire Hathaway Inc.
418,2016-03-10,brk-a,210001,207930,209865,209120,700,209120,Berkshire Hathaway Inc.
419,2016-03-11,brk-a,211600,209490,209990,211600,600,211600,Berkshire Hathaway Inc.
420,2016-03-14,brk-a,212250,209850,212000,210300,200,210300,Berkshire Hathaway Inc.
421,2016-03-15,brk-a,211200,209173,209720,211070,200,211070,Berkshire Hathaway Inc.
422,2016-03-16,brk-a,211000,210140,210200,210200,400,210200,Berkshire Hathaway Inc.
423,2016-03-17,brk-a,214000,209925,210240,213600,400,213600,Berkshire Hathaway Inc.
424,2016-03-18,brk-a,214560,212481,214250,213330,300,213330,Berkshire Hathaway Inc.
425,2016-03-21,brk-a,214000,212860,213330,213300,200,213300,Berkshire Hathaway Inc.
426,2016-03-22,brk-a,214538,212790,213200,213400,200,213400,Berkshire Hathaway Inc.
427,2016-03-23,brk-a,213340,211370,212900,211370,300,211370,Berkshire Hathaway Inc.
428,2016-03-24,brk-a,210980,209525,210200,210530,200,210530,Berkshire Hathaway Inc.
429,2016-03-28,brk-a,212619,210790,211120,212125,200,212125,Berkshire Hathaway Inc.
430,2016-03-29,brk-a,213000,211000,212435,212800,100,212800,Berkshire Hathaway Inc.
431,2016-03-30,brk-a,215130,213588,214345,214035,300,214035,Berkshire Hathaway Inc.
432,2016-03-31,brk-a,214623,212400,214125,213450,200,213450,Berkshire Hathaway Inc.
433,2016-04-01,brk-a,215950,209641,211850,215740,300,215740,Berkshire Hathaway Inc.
434,2016-04-04,brk-a,215600,214360,215560,215060,200,215060,Berkshire Hathaway Inc.
435,2016-04-05,brk-a,213884,211900,213501,212340,200,212340,Berkshire Hathaway Inc.
